From	To
Q96CV9	OPTN
Q9Y4P1	ATG4B
Q8IYT8	ULK2
Q9Y6I9	TEX264
Q8TDY2	RB1CC1
Q14457	BECN1
Q14318	FKBP8
Q13501	SQSTM1
Q01484	ANK2
P56962	STX17
P49023	PXN
O95197	RTN3
P22681	CBL
Q13191	CBLB
Q96J02	ITCH
Q8WV28	BLNK
P05386	RPLP1
P05387	RPLP2
Q9Y6Q9	NCOA3
P04637	TP53
Q15788	NCOA1
O14936	CASK
O75496	GMNN
O00401	WASL
P11274	BCR
P0C0S5	H2AZ1
P06899	H2BC11
Q71UI9	H2AZ2
P68431	H3C1
P68431	H3C10
P68431	H3C11
P68431	H3C12
P68431	H3C2
P68431	H3C3
P68431	H3C4
P68431	H3C6
P68431	H3C7
P68431	H3C8
P62805	H4C1
P62805	H4C11
P62805	H4C12
P62805	H4C13
P62805	H4C14
P62805	H4C15
P62805	H4C16
P62805	H4C2
P62805	H4C3
P62805	H4C4
P62805	H4C5
P62805	H4C6
P62805	H4C8
P62805	H4C9
Q71DI3	H3C13
Q71DI3	H3C14
Q71DI3	H3C15
Q16695	H3-4
P84243	H3-3A
P84243	H3-3B
P42768	WAS
Q14186	TFDP1
Q01094	E2F1
P06400	RB1
O15350	TP73
O75506	HSBP1
P49450	CENPA
Q8N2Z9	CENPS
Q14469	HES1
P22303	ACHE
P08263	GSTA1
P04271	S100B
P00441	SOD1
P08670	VIM
Q14258	TRIM25
P51825	AFF1
P42568	MLLT3
Q9HC52	CBX8
Q8TEK3	DOT1L
Q13563	PKD2
Q15691	MAPRE1
P31431	SDC4
P01730	CD4
P06239	LCK
P01106	MYC
Q04206	RELA
O75928	PIAS2
Q13094	LCP2
P05067	APP
P23025	XPA
P20963	CD247
P24928	POLR2A
P25054	APC
Q15637	SF1
Q9Y5B0	CTDP1
Q01831	XPC
P42224	STAT1
P52630	STAT2
Q6VMQ6	ATF7IP
Q9UER7	DAXX
Q05195	MXD1
Q16665	HIF1A
Q99967	CITED2
P35222	CTNNB1
Q8NG31	KNL1
Q8N488	RYBP
O60828	PQBP1
Q12972	PPP1R8
Q03164	KMT2A
O75533	SF3B1
P27797	CALR
P48788	TNNI2
O15169	AXIN1
Q9NS91	RAD18
Q99075	HBEGF
Q9BPZ3	PAIP2
Q9HCJ0	TNRC6C
P19429	TNNI3
P50542	PEX5
Q15797	SMAD1
P84022	SMAD3
Q13127	REST
Q96QT6	PHF12
P46527	CDKN1B
O15234	CASC3
P14598	NCF1
P49792	RANBP2
P01130	LDLR
P06241	FYN
P24394	IL4R
P29353	SHC1
Q9UQC2	GAB2
Q9NR28	DIABLO
Q13541	EIF4EBP1
Q9NQB0	TCF7L2
Q9UJY5	GGA1
P60880	SNAP25
Q14449	GRB14
P38936	CDKN1A
P61073	CXCR4
P52907	CAPZA1
Q9UJM3	ERRFI1
P04626	ERBB2
P05107	ITGB2
O95405	ZFYVE9
Q92793	CREBBP
P10747	CD28
P02686	MBP
P09651	HNRNPA1
Q96IZ0	PAWR
Q12879	GRIN2A
P68363	TUBA1B
Q13351	KLF1
P55036	PSMD4
Q9H211	CDT1
P27986	PIK3R1
P29590	PML
Q99523	SORT1
P40855	PEX19
