,uniprot,gene_name,idr_content_fraction,motif
0,O15391,YY2,0.675,MA0748.2
1,A6NJT0,UNCX,0.908,MA0721.1
2,P22415,USF1,0.7,MA0093.3
3,Q15853,USF2,0.772,MA0526.4
4,Q5SQQ9,VAX1,0.772,MA0722.1
5,Q9UIW0,VAX2,0.728,MA0723.2
6,P11473,VDR,0.157,MA0074.1
7,O95231,VENTX,0.81,MA0724.1
8,Q14119,VEZF1,0.445,MA1578.1
9,P58304,VSX2,0.72,MA0726.1
10,Q9NZR4,VSX1,0.781,MA0725.1
11,P17861,XBP1,0.759,MA0844.1
12,Q13948,CUX1,0.394,MA0754.2
13,P46937,YAP1,0.597,MA0415.1
14,O75467,ZNF324,0.454,MA1977.1
15,O60765,ZNF354A,0.334,MA1978.1
16,Q86Y25,ZNF354C,0.321,MA0130.1
17,Q9BTP6,ZBED2,0.514,MA1971.1
18,O96006,ZBED1,0.184,MA0749.1
19,Q9Y330,ZBTB12,0.601,MA1649.1
20,O43829,ZBTB14,0.441,MA1650.1
21,Q99592,ZBTB18,0.648,MA0698.1
22,Q9HCK0,ZBTB26,0.519,MA1579.1
23,Q9Y2Y4,ZBTB32,0.602,MA1580.1
24,O95365,ZBTB7A,0.502,MA0750.2
25,O15156,ZBTB7B,0.62,MA0694.1
26,A1YPR0,ZBTB7C,0.628,MA0695.1
27,Q15916,ZBTB6,0.483,MA1581.1
28,P37275,ZEB1,0.79,MA0103.3
29,Q9HCL3,ZFP14,0.238,MA1972.1
30,Q96MM3,ZFP42,0.516,MA1651.1
31,Q9NU63,ZFP57,0.42,MA1583.1
32,Q15915,ZIC1,0.66,MA0696.1
33,Q8N9L1,ZIC4,0.533,MA0751.1
34,Q96T25,ZIC5,0.783,MA1584.1
35,Q96PE6,ZIM3,0.248,MA1709.1
36,P17029,ZKSCAN1,0.531,MA1585.1
37,Q9BRR0,ZKSCAN3,0.48,MA1973.1
38,Q9Y2L8,ZKSCAN5,0.423,MA1652.1
39,P52737,ZNF136,0.239,MA1588.1
40,P52742,ZNF135,0.255,MA1587.1
41,P52738,ZNF140,0.295,MA1589.1
42,P52747,ZNF143,0.577,MA0088.2
43,Q9UQR1,ZNF148,0.856,MA1653.1
44,O75820,ZNF189,0.181,MA1725.1
45,Q13398,ZNF211,0.323,MA1974.1
46,Q9UL59,ZNF214,0.284,MA1975.1
47,Q9Y2Q1,ZNF257,0.254,MA1710.1
48,O14978,ZNF263,0.48,MA0528.2
49,Q96GC6,ZNF274,0.369,MA1592.1
50,Q9Y2X9,ZNF281,0.865,MA1630.2
51,Q9UDV7,ZNF282,0.699,MA1154.1
52,Q96PQ6,ZNF317,0.309,MA1593.1
53,A2RRD8,ZNF320,0.218,MA1976.1
54,Q9NQX6,ZNF331,0.222,MA1726.1
55,Q6P1L6,ZNF343,0.401,MA1711.1
56,Q9BYN7,ZNF341,0.623,MA1655.1
57,Q96SR6,ZNF382,0.411,MA1594.1
58,Q8TF68,ZNF384,0.536,MA1125.1
59,Q86VK4,ZNF410,0.485,MA0752.1
60,Q9BWM5,ZNF416,0.379,MA1979.1
61,Q8TAU3,ZNF417,0.369,MA1727.1
62,Q8TF45,ZNF418,0.296,MA1980.1
