From	To
A0A7U3JVZ8	FGF1B
A0A7R8C389	IF2B1
A0A7P0T838	VRK1
A0A7U3JW05	FGF7B
A0A7U3L4E7	FGF8A
A0A7P0T9D8	NAXD
A0A7R8C382	IF1AA9
A0A7R8C391	IF1IB1
A0A7U3JVY0	FGF5C
A0A7R8GUW8	IF2G
A0A7U3JW12	FGF7A
A0A7R8C4W0	IF2D
A0A7U3JVZ5	FGF1D
A0A7P0T8D1	AGT
A0A7R8C2Z1	IF1AA3
A0A7P0Z4M0	EIF2AK2
A0A7R8C308	IF1AB1
A0A7P0T8X1	P4HB
A0A7U3L5M7	FGF8C
A0A7P0T952	VRK1
A0A7P0TAD2	ARID5B
A0A7U3JVZ2	FGF2B
A0A7P0T9T1	VRK1
A0A7P0Z485	FBRSL1
A0A7P0T9D7	BRCA2
A0A7P0TA16	VRK1
A0A7U3JVZ9	FGF5D
A0A7U3JW18	FGF5A
A0A7R8C383	IF1AA5
A0A7P0MRW0	NONO
A0A7P0T890	DST
A0A7U3JVY7	FGF6A
A0A7P0TA35	P4HB
A0A7P0T8K2	HYCC1
A0A7R8GUN5	IF1AB4
A0A7P0TBE4	VRK1
A0A7P0TAN4	LOC122539214
A0A7P0T9U7	SF1
A0A7U3L5H2	FGF4C
A0A7R8GUQ9	IF1EA
A0A7P0MRI8	PLCB4
A0A7P0T8J3	P4HB
A0A087WU74	SAMD11
A0A7P0TA65	VRK1
A0A7U3JYS1	KIR3DL13DL1*053_extension_1
A0A7U3L5M4	FGF3A
A0A7P0TAA6	VRK1
A0A7R8C381	IF1AA8
A0A7R8C2Z6	IF1IA1
A0A7P0TB20	NOTCH1
A0A7P0TBM9	BLM
A0A7R8GV38	IF1DA1
A0A7P0TBH9	DTNA
A0A7P0TB26	P4HB
A0A7U3JVY2	FGF5B
A0A7P0T8W1	NOTCH1
A0A7U3L649	FGF4A
A0A7P0T824	VRK1
A0A7P0T8C0	P4HB
A0A7P0TBJ1	LOC389895
A0A7U3JVY3	FGF1A
A0A7P0TB24	SMPD4
A0A7P0T9U6	P4HB
A0A7R8GUN6	IF2F
A0A7P0T8M7	CACNA1S
A0A7P0Z4C3	DCTN1
A0A7P0T861	CALR
A0A7P0TAP7	BRCA2
A0A7P0Z494	DBT
A0A7P0TB15	VRK1
